time,FXI 100%,FXI 50%,FXI 15%,FXI 5%,FXI 1%,FXI 0%
0.67,7.215,6.01,4.25,1.225,2.365,1.865
1,33.745,23.64,8.63,5.47,4.455,3.055
1.33,234.905,112.33,12.385,8.25,4.96,3.555
1.67,510.265,326.59,28.325,10.3,5.98,3.85
2,599.165,523.31,182.395,17.48,8.325,4
2.33,566.595,572.36,441.545,46.695,11.875,4.39
2.67,515.31,542.72,564.24,214.515,17.29,4.84
3,451.465,494.545,548.285,451.535,25.795,5.39
3.33,389.375,443.585,507.09,543.4,44.09,6.415
3.67,337.11,383.895,466.39,523.075,122.415,8.065
4,286.085,324.99,405.155,483.62,277.53,10.005
4.33,249.005,287.65,344.495,445.345,427.425,12.49
4.67,222.705,258.795,308.08,389.135,494.98,15.965
5,195.945,226.795,274.715,330.345,484.155,21.465
5.33,171.05,200.855,242.895,293.985,453.21,24.625
5.67,152.27,182.955,216.77,265.805,415.55,32.6
6,132.71,162.22,194.93,233.815,357.245,60.91
6.33,121.885,145.98,175.61,208.185,306.37,111.37
6.67,107.725,130.415,157.06,189.005,273.955,169.05
7,95.365,116.65,140.705,170.42,245.405,213.085
7.33,87.22,105.53,128.89,154.69,218.205,243.19
7.67,73.37,92.2,114.14,135.735,192.575,274.12
8,68.25,86.115,102.795,123.93,172.28,312.105
8.33,62.855,77.81,94.56,113.135,155.58,336.64
8.67,51.345,66.92,82.845,99.97,138.37,325.145
9,46.615,61.63,75.58,90.955,124.61,297.86
9.33,41.72,54.16,66.485,80.36,113.19,283.715
9.67,39.96,50.05,60.635,72.445,102.38,265.275
10,36.21,46.665,57.815,67.58,92.13,233.43
10.33,26.76,38.64,47.54,58.06,80.5,209.17
10.67,26.215,36.185,42.455,52.045,72.54,188.82
11,23.24,31.11,42.255,48.285,64.9,166.245
11.33,19.505,26.635,37.42,43.08,57.17,146.575
11.67,17.08,26.315,30.23,37.815,53.76,130.485
12,16.04,21.82,27.235,32.47,46.595,116.705
12.33,17.31,20.68,28.045,32.615,41.665,105.355
12.67,14.66,20.62,24.88,30.445,38.905,92.66
13,7.69,15.135,17.24,21.035,32.5,79.55
13.33,7.115,13.87,17.68,20.675,30.555,73.27
13.67,10.02,13.91,18.675,22.04,28.355,65.365
14,4.495,6.21,12.755,19.65,23.34,56.5
14.33,6.195,8.63,13.835,15.86,21.3,51.895
14.67,7.55,9.575,12.485,12.335,19.015,46.765
15,0.775,4.945,6.985,9.88,16.32,40.085
15.33,1.395,8.435,9.275,7.885,15.57,33.97
15.67,3.295,6.29,7.745,9.045,13.495,32.49
16,1.445,2.435,6.13,8.195,10.1,30.35
16.33,2.21,3.22,8.125,7.695,11.645,26.23
16.67,-1.975,0.525,2.335,5.77,9.23,21.78
17,-0.805,2.395,2.14,4.59,5.595,18.86
17.33,5.215,4.495,6.89,5.85,8.985,16.8
17.67,-3.06,-0.24,1.595,1.255,6.515,14.36
18,-3.455,-0.51,1.325,2.685,4.035,14.555
18.33,3.07,2.555,2.655,5.275,5.86,13.24
18.67,-4.105,-1.245,-1.54,-0.41,2.265,9.915
19,-2.375,-2.45,-0.26,1.035,1.875,8.985
19.33,-0.67,-0.19,1.235,1.37,3.245,8.535
19.67,-6.445,-5.12,-1.07,-2.53,-0.285,5.185
20,-1.735,-0.955,-1.51,-1.29,3.075,4.78
20.33,-2.355,2.415,0.085,0.13,2.92,6.095
20.67,-4.875,-5.615,-1.175,-1.105,-0.24,4.96
21,-0.935,-3.06,0.465,-0.635,0.025,3.635
21.33,-3.56,-2.075,0.915,-1.73,-0.225,0.84
21.67,-6.28,-2.17,-2.915,-3.035,-0.185,1.33
22,-0.495,-0.19,0.095,-1.015,-2.04,4.105
22.33,-3.155,-6.095,-3.63,-2.76,-1.185,0.79
22.67,-8.995,-3.105,-4.635,-5.175,-0.05,0.465
23,-1.13,-1.055,-0.645,-1.335,-0.075,2.695
23.33,-1.675,-7.48,-3.025,-0.905,-1.455,0.275
23.67,-4.79,-3.77,-0.475,-3.48,-1.305,-1.035
24,-0.355,-1.09,0.045,-0.955,-0.355,0.185
24.33,-6.005,-5.04,-5.205,-3.335,-2.89,-1.11
24.67,-4.69,-2.095,-6.765,-3.32,-2.16,-1.215
25,0.545,-2.47,0.73,-2.675,-0.66,-2.725
25.33,-6.15,-6.73,-0.26,-4.1,-0.19,-3.85
25.67,-6.58,-2.99,-3.92,-2.44,-0.29,1.295
26,-3.905,-2.525,-1.485,-1.895,-2.45,1.265
26.33,-7.395,-5.97,-5.615,-4.96,-6.76,-3.45
26.67,-3.045,-4.265,-1.825,-3.1,-1.8,-1.245
27,-2.42,-3.535,-0.18,1.055,0.79,-0.61
27.33,-7.155,-4.76,-7.63,-5.71,-3.53,-3.48
27.67,-0.52,0.345,-4.24,-4.58,-1.52,-1.76
28,-3.135,-3.575,-1.075,-2.485,-1.49,-1.585
28.33,-6.455,-7.93,-3.83,-4.45,-1.71,-1.375
28.67,-0.77,-1.625,1.54,-3.85,-0.625,-1.17
29,-6.15,-4.55,-1.6,-4.955,-4.605,-2.975
29.33,-4.355,-2.86,-5.51,-1.225,-0.845,-2.255
29.67,-0.43,-3.79,-1.585,-0.235,-0.52,-2.785
30,-5.91,-6.21,-4.12,-5.665,-5.745,-3.545
30.33,-1.29,-1.26,-0.635,-3.075,-0.005,-0.915
30.67,-3.395,-3.11,-0.045,-1.53,-0.5,-0.565
31,-9.685,-4.55,-6.655,-9.095,-3.19,-3.95
31.33,2.02,-0.985,-3.005,-1.805,-2.86,-2.945
31.67,-2.155,-6.31,0.01,0.595,-2.74,-3.1
32,-10.95,-4.98,-4.155,-4.42,-1.08,-2.65
32.33,-1.13,2.155,-3.95,-2.295,-0.27,0.12
32.67,-0.86,-5.655,-1.625,-3.85,-2.915,-3.035
33,-5.135,-3.75,-2.555,-2.665,-4.445,-4.015
33.33,-2.34,1.435,-4.59,-2.155,-1.32,-2.485
33.67,-5.305,-7.265,-3.975,-4.135,-0.78,-3.425
34,-5.245,-4.385,-0.765,-2.685,-2.27,-1.985
34.33,-1.865,-1.615,0.01,-4.26,-3.845,-0.88
34.67,-5.39,-3.8,-3.805,-2.745,-1.2,-2.295
35,-2.88,-1.915,-6.45,-0.025,2.155,-1.025
35.33,-0.22,-4.855,2.09,-1.67,-2.775,-1.485
35.67,-7.175,-5.98,0.735,-1.95,-2.03,-4.33
36,-1.175,2.54,-2.975,-2.43,2.375,-2.415
36.33,-0.315,-3.455,-0.26,-5.24,-3.36,-0.13
36.67,-4.845,-11.265,-4.53,-2.6,-6.02,-4.26
37,-1.79,0.715,-1.28,-1.68,-0.735,-3.27
37.33,-6.47,-0.805,-2.085,-4.61,-3.965,-2.13
37.67,-3.4,-4.755,-3.525,-1.555,-1.29,-2.675
38,-0.3,-4.935,-0.085,-0.815,1.015,-2.815
38.33,-3.78,-1.08,-3.185,-4.03,-2.625,-3.985
38.67,-1.99,4.23,-2.7,-2.08,1.16,0.34
39,-0.86,-2.08,0.515,-0.985,-1.9,-0.36
39.33,-5.93,-8.66,-3.37,-3.435,-1.975,-4.005
39.67,-0.785,-0.125,-1.48,0.915,-0.405,-1.7
40,-2.72,1.82,0.155,-1.685,-2.525,-2.635
40.33,-6.675,-6.54,-5.425,-5.81,-0.1,-3.75
40.67,1.34,-0.775,-0.195,-0.48,0.155,-1.39
41,-0.905,-1.96,0.245,-1.98,-4.43,-1.475
41.33,-4.975,-5.275,-3.515,-2.965,-3.42,-3.955
41.67,-0.425,-0.785,1.93,0.625,0.5,-1.195
42,-5.22,-6.995,-3.585,-4.325,-3.315,0.27
42.33,-4.6,-3.865,-4.56,-2.93,-1.265,-2.97
42.67,0.4,3.775,3.305,0.835,1.825,-2.55
43,-0.96,-0.86,-0.38,-1.065,-0.665,-1.315
43.33,-0.41,-0.45,-6.355,-2.245,0.455,-3.21
43.67,-3.995,-5.01,0.175,-4.665,-2.675,-2.03
44,-5.585,-9.835,1.44,0.375,-3.525,-1.47
44.33,0.59,-1.925,-3.145,3.105,0.8,-1.815
44.67,-0.055,2.715,-0.985,-2.73,-1.225,-0.6
45,-3.4,-0.055,-0.215,-5.43,0.35,-2.48
45.33,-1.095,2.195,1.315,-1.48,3.865,-1.325
45.67,-2.465,-4.785,-1.965,1.205,-1.42,-2.155
46,-3.59,-6.19,-3.59,-1.92,-2.885,-2.505
46.33,0.765,1.28,-0.87,-1.875,-2.29,-1.105
46.67,1.755,-4.945,-1.72,-0.78,-2.58,-2.735
47,-5.705,1.015,-0.765,-2.74,1.035,-2.33
47.33,-2.755,2.71,3.8,-1.485,-2.02,-2.88
47.67,0.74,-0.94,1.91,1.015,-0.66,-1.335
48,-3.825,0.275,-3.28,0.49,3.135,0.775
48.33,-0.19,-5.1,-1.75,-4.665,-2.53,-2.03
48.67,1.195,-3.055,-3.725,-1.405,-0.43,-2.925
49,-3.165,0.54,-2.74,0.11,-0.055,-1.015
49.33,1.08,-0.415,1.37,-1.575,-2.695,-3.1
49.67,-1.685,-5.13,-0.85,2.92,1.68,-2.275
50,-1.665,-0.69,1.66,-2.68,0.43,0.955
50.33,0.88,2.14,2.7,-0.69,-1.84,-1.77
50.67,-2.38,-2.8,-4.73,2.12,0.05,-2.655
51,0.435,-0.31,-0.19,-2.61,-0.455,-1.61
51.33,-3.505,-2.505,2.35,-0.57,0.245,-3.525
51.67,-2.36,0.38,-2.305,-0.92,2.055,-2.095
52,4.085,1.97,0.745,-0.445,0.52,0.755
52.33,4.025,-5.91,1.265,0.075,-1.595,-0.625
52.67,-0.98,-1.95,-1.36,0.92,1.22,-0.885
53,-3.5,-0.09,-0.36,-0.565,-2.065,-0.24
53.33,-4.13,0.36,-1.355,-0.965,-3.42,-2.085
53.67,0.565,0.7,-2.27,-0.465,2.165,-1.81
54,1.61,-2.615,0.915,-2.595,-0.155,-0.335
54.33,-2.445,1.06,-0.655,3.185,0.44,-1.84
54.67,-1.625,3.785,2.92,1.91,2.77,-1.02
55,4.39,-3.695,3.38,-0.265,1.21,-1.735
55.33,1.115,-5.79,-5.41,-1.005,-0.27,-1.39
55.67,-0.78,3.63,-0.915,-1.185,-1.62,0.145
56,2.285,-1.16,5.825,2.055,0.035,-2.815
56.33,-6.575,-4.715,-3.245,0.585,2.665,-2.355
56.67,-0.69,3.09,0.195,0.525,-1.415,1.96
57,6.885,1.8,7.675,3.25,-0.875,-2.095
57.33,0.56,-0.905,-4.24,0.455,1.59,-1.325
57.67,-2.84,-1.45,-2.63,-3.09,-1.245,-0.8
58,-1.295,0.545,2.135,0.305,0.705,-5.76
58.33,3.11,2.52,-1.06,-0.49,2.955,0.68
58.67,1.02,-3.26,3.535,-0.745,-0.8,-2.335
59,-1.24,-0.91,-0.75,2.305,0.715,-0.96
59.33,2.3,6.3,-2.475,2.415,4.285,-0.74
59.67,-0.675,3.535,2.835,-0.935,0.035,-2.935
60,0,0,7.8,15.6,0,-1.785
