time,FVIII 100%,FVIII 50%,FVIII 15%,FVIII 5%,FVIII 1%,FVIII 0%
0.67,6.685,6.345,4.40666666666667,4.36,3.02333333333333,3.43
1,23.705,11.6,9.99,8.48666666666667,7.28,6.76333333333333
1.33,143.935,39.13,16.7866666666667,10.35,8.14666666666667,7.53333333333333
1.67,383.335,189.075,76.7366666666667,14.5833333333333,8.46,7.69666666666667
2,532.965,407.5,211.26,43.4233333333333,10.1666666666667,7.68333333333333
2.33,540.705,513.715,366.093333333333,139.906666666667,12.94,7.81
2.67,498.08,517.725,464.06,287.37,24.7066666666667,8.03
3,465.87,493.625,479.343333333333,406.083333333333,69.3033333333333,8.04333333333333
3.33,412.925,463.1,463.746666666667,452.863333333333,160.76,8.29
3.67,339.425,408.355,433.716666666667,445.563333333333,273.283333333333,8.53333333333333
4,298.56,350.31,391.613333333333,426.773333333333,365.36,8.90666666666667
4.33,270.105,316.415,348.68,394.436666666667,411.63,8.71
4.67,237.7,286.045,308.99,343.413333333333,414.316666666667,8.58666666666667
5,209.225,258.66,280.836666666667,305.27,402.076666666667,10.3133333333333
5.33,192.045,235.345,257.036666666667,278.77,377.56,12.5466666666667
5.67,169.81,213.115,232.613333333333,252.39,336.753333333333,14.2433333333333
6,155.195,193.975,214.476666666667,230.796666666667,299.2,15.6133333333333
6.33,138.325,177.35,198.006666666667,210.79,268.813333333333,17.3966666666667
6.67,121.315,161.26,180.04,192.273333333333,241.783333333333,19.7766666666667
7,113.8,147.545,166.683333333333,179,221.55,23.0333333333333
7.33,101.75,135.02,152.01,164.77,202.256666666667,26.5066666666667
7.67,90.04,123.365,138.343333333333,150.303333333333,183.873333333333,30.1933333333333
8,84.78,112.715,129.21,138.486666666667,170.276666666667,34.19
8.33,73.6,101.245,117.993333333333,126.95,154.93,37.9533333333333
8.67,65.25,94.045,108.076666666667,117.966666666667,142.036666666667,41.7733333333333
9,62.49,88.41,101.703333333333,110.086666666667,131.853333333333,45.9933333333333
9.33,54.125,76.185,90.7033333333333,99.0466666666667,119.28,49.9266666666667
9.67,49.865,71.875,84.21,90.68,111.326666666667,54.0033333333333
10,46.18,68.485,80.0133333333333,85.86,104.52,58.28
10.33,36.575,59.225,69.6333333333333,78,91.86,62.01
10.67,36.63,53.635,65.6133333333333,71.4066666666667,85.9266666666667,66.39
11,34.51,50.635,61.6666666666667,67.4166666666667,80.84,70.57
11.33,26.485,45.465,52.48,58.6566666666667,71.4866666666667,74.52
11.67,26.775,41.8,51.26,55.3633333333333,67.9633333333333,78.9133333333333
12,22.435,38.595,46.4433333333333,51.9333333333333,61.82,83.3133333333333
12.33,21.87,35.25,41.2366666666667,46.8966666666667,55.59,87.5533333333333
12.67,18.865,33.45,42.06,44.3966666666667,54.0966666666667,92.3066666666667
13,13.695,26.53,35.11,38.8966666666667,46.56,97.08
13.33,16.89,23.975,31.78,36.0033333333333,43.7566666666667,101.64
13.67,12.185,23.625,31.87,34.5533333333333,41.7033333333333,106.983333333333
14,10.18,22.375,26.45,30.5933333333333,37.01,111.93
14.33,12.43,20.74,24.5666666666667,26.7466666666667,35.1366666666667,115.973333333333
14.67,11.335,18.05,25.1266666666667,26.0666666666667,31.4566666666667,120.136666666667
