time,FVIII 100%,FVIII 50%,FVIII 15%,FVIII 5%,FVIII 1%,FVIII 0%
0.67,-0.515,1.73,0.07,0.19,0.025,0.53
1,1.335,0.055,-0.005,-0.32,-0.045,-0.095
1.33,0.035,-0.945,0.285,-0.015,0.09,-0.05
1.67,-1.68,0.31,0.19,0.23,0.14,0.665
2,0.12,0.26,0,0.09,0.095,-0.21
2.33,0.555,0.205,0.24,0.09,0.19,-0.435
2.67,0.525,0.155,0.09,0.14,0.045,0.535
3,0.145,0.255,0.095,0.185,0.045,0.49
3.33,0.41,0.36,0.24,0.185,0.14,-0.305
3.67,0.985,0.2,0.14,0.325,0.14,-0.265
4,0.23,0.305,0.285,0.37,0.09,0.22
4.33,0.61,0.515,0.335,0.275,0.095,0.315
4.67,2.495,0.3,0.24,0.23,0.325,0.415
5,3.635,0.195,0.29,0.275,0.325,0.275
5.33,6.605,0.865,0.19,0.05,0.045,-0.175
5.67,12.31,2.05,0.135,-0.61,-0.52,-0.455
6,21.34,3.08,0.515,-0.33,-0.19,-0.28
6.33,34.99,4.165,1.385,0.51,0.61,0.285
6.67,53.04,6.03,1.95,0.605,0.465,0.545
7,74.175,9.235,2.425,0.835,0.56,0.495
7.33,92.665,13.855,3.25,1.21,0.935,0.745
7.67,108.45,20.1,4.36,1.58,1.165,1.005
8,124.6,28.075,5.7,2.09,1.535,1.145
8.33,138.855,37.36,7.375,2.645,1.82,1.38
8.67,149.71,47.045,9.68,3.395,2.095,1.745
9,157.84,55.98,12.315,4.23,2.61,2.195
9.33,164.045,63.5,15.355,5.255,3.31,2.545
9.67,167.44,70.68,18.74,6.145,3.77,2.865
10,168.3,77.115,22.9,7.26,4,3.245
10.33,165.225,82.765,26.85,8.565,4.415,3.51
10.67,160.52,88.11,29.43,9.73,4.975,3.775
11,153.85,91.64,32.975,10.945,5.44,4.005
11.33,144.695,94.99,36.385,12.255,5.905,4.13
11.67,136.78,97.745,38.4,13.565,6.555,4.585
12,126.29,98.93,40.505,14.785,6.92,4.85
12.33,115.29,100.285,42.75,17.055,7.39,5.075
12.67,109.13,100.945,44.87,18.33,7.94,5.395
13,102.075,100.61,46.66,19.15,8.45,5.52
13.33,96.485,99.645,48.36,20.43,8.915,5.835
13.67,83.44,98.405,49.575,21.005,9.47,6.2
14,71.79,96.755,50.715,21.71,10.08,6.24
14.33,71.11,94.035,52.07,22.49,10.975,6.55
14.67,61.44,91.155,52.565,23.73,11.955,6.95
15,49.875,88.42,53.085,24.64,11.75,7.04
15.33,44.1,84.175,53.8,25.325,11.745,7.4
15.67,38.885,83.225,53.85,26.25,13.3,7.89
16,37.06,80.41,53.855,26.785,13.86,8.205
16.33,31.86,72.08,53.115,27.23,13.33,8.765
16.67,24.45,67.075,53.12,27.92,13.845,9.465
17,22.485,63.29,53.225,28.57,14.555,9.405
17.33,20.315,62.73,51.765,29.17,14.685,9.325
17.67,16.865,59.005,50.53,29.145,15.015,9.35
18,15.59,52.655,49.86,29.455,15.725,9.495
18.33,13.77,48.78,48.965,29.865,15.815,9.8
18.67,10.565,43.2,47.175,29.8,15.995,9.795
19,10.38,38.6,45.48,29.62,16.61,9.975
19.33,8.635,34.02,43.42,29.185,16.8,10.325
19.67,6.55,35.145,41.755,29.315,17.035,10.785
20,7.035,33.04,39.04,28.99,17.215,10.785
20.33,6.81,26.15,37.715,28.415,17.405,10.9
20.67,6.99,25.005,36.92,28.145,17.495,11.36
21,4.68,23.145,33.35,27.405,17.63,11.395
21.33,2.505,22.28,31.595,26.52,17.53,11.435
21.67,4.135,21.53,29.67,25.98,17.475,11.56
22,3.86,17.42,26.87,24.835,17.62,11.64
22.33,1.24,16.9,25.4,23.75,17.47,11.825
22.67,1.59,15.575,23.625,23.105,17.165,11.9
23,1.84,11.395,23.43,22.6,16.775,12.04
23.33,1.78,10.375,23.515,21.33,16.57,11.835
23.67,2.295,10.045,21.32,19.62,16.42,11.62
24,0.225,9.04,18.065,18.905,15.925,11.805
24.33,0.295,7.255,15.515,17.84,15.325,11.65
24.67,1.65,6.625,13.795,16.875,15.42,11.4
25,1.165,6.405,12.815,16.005,14.67,11.395
25.33,1.315,5.22,12.295,15.14,13.78,11.33
25.67,0.185,4.745,10.86,13.695,13.675,11.02
26,-1.02,4.66,10.83,12.3,13.32,10.495
26.33,0.225,3.72,9.94,11.79,12.67,10.35
26.67,0.975,2.905,9.76,10.925,11.775,10.425
27,0.99,2.805,9.5,10.25,11.125,9.985
27.33,0.28,3.375,7.095,9.525,10.915,9.4
27.67,-0.56,2.265,6.57,8.58,10.165,9.19
28,-0.415,1.905,5.805,7.66,9.365,8.995
28.33,1.005,2.5,5.75,6.94,8.955,8.41
28.67,0.415,1.34,5.165,6.655,8.205,7.81
29,-1.155,2.41,4.165,6.4,8.095,7.65
29.33,0.235,2.05,3.755,5.43,7.59,7.31
29.67,-0.1,-0.43,3.105,4.74,6.59,6.735
30,1.56,0.69,3.175,4.585,6.03,6.485
30.33,0.615,1.16,2.475,4.28,6.03,6.03
30.67,-3.065,0.1,2.47,3.91,5.77,5.69
31,-0.7,1.235,2.595,3.755,4.865,5.355
31.33,0.165,0.915,1.925,2.825,4.515,4.86
